SLNo.,CATEGORY,DESCRIPTION,CITY
140,HDFC ,"HDFC is India's premier housing finance company and enjoys an impeccable track record in India as well as in international markets. Since its inception in 1977, the Corporation has maintained a consistent and healthy growth in its operations to remain the market leader in mortgages. Its outstanding loan portfolio covers well over a million dwelling units.",
141,HDFC ,"HDFC has developed significant expertise in retail mortgage loans to different market segments and also has a large corporate client base for its housing related credit facilities. With its experience in the financial markets, strong market reputation, large shareholder base and unique consumer franchise, HDFC was ideally positioned to promote a bank in the Indian environment.",
142,HDFC ,"HDFC Bank’s mission is to be a World Class Indian Bank. The objective is to build sound customer franchises across distinct businesses so as to be the preferred provider of banking services for target retail and wholesale customer segments, and to achieve healthy growth in profitability, consistent with the bank’s risk appetite.",
143,HDFC ,"The bank is committed to maintain the highest level of ethical standards, professional integrity, corporate governance and regulatory compliance. HDFC Bank’s business philosophy is based on five core values: Operational Excellence, Customer Focus, Product Leadership, People and Sustainability.",
144,HDFC ,The shares are listed on the BSE Limited and The National Stock Exchange of India Limited. The Bank's American Depository Shares (ADS) are listed on the New York Stock Exchange (NYSE) under the symbol 'HDB' and the Bank's Global Depository Receipts (GDRs) are listed on Luxembourg Stock Exchange under ISIN No US40415F2002.,
145,HDFC ,"On May 23, 2008, the amalgamation of Centurion Bank of Punjab with HDFC Bank was formally approved by Reserve Bank of India to complete the statutory and regulatory approval process. As per the scheme of amalgamation, shareholders of CBoP received 1 share of HDFC Bank for every 29 shares of CBoP.",
146,HDFC ,"The amalgamation added significant value to HDFC Bank in terms of increased branch network, geographic reach, and customer base, and a bigger pool of skilled manpower.",
147,HDFC ,"HDFC Bank's Board of Directors comprises eminent individuals with a wealth of experience in public policy, administration, industry and commercial banking. Senior executives representing HDFC Ltd. are also on the Board. ",
148,HDFC ,Various businesses and functions in the Bank are headed by senior executives with work experience in India and abroad. They report to the Managing Director. The Bank is focussed on recruiting and retaining the best talent in the industry as it believes that its people are a competitive strength,
149,HDFC ,"HDFC Bank operates in a highly automated environment in terms of information technology and communication systems. All the bank’s branches have online connectivity, which enables the bank to offer speedy funds transfer facilities to its customers. Multi-branch access is also provided to retail customers through the branch network and Automated Teller Machines (ATMs).",
150,HDFC ,"The Bank has made substantial efforts and investments in acquiring the best technology available internationally, to build the infrastructure for a world class bank. In terms of core banking software, the Corporate Banking business is supported by Flexcube, while the Retail Banking business by Finware, both from i-flex Solutions Ltd. The systems are open, scaleable and web-enabled.",
151,HDFC ,"The Bank has prioritised its engagement in technology and the internet as one of its key goals and has already made significant progress in web-enabling its core businesses. In each of its businesses, the Bank has succeeded in leveraging its market position, expertise and technology to create a competitive advantage and build market share.",
152,HDFC ,"HDFC Bank began operations in 1995 with a simple mission: to be a ""World-class Indian Bank"". We realized that only a single-minded focus on product quality and service excellence would help us get there. Today, we are proud to say that we are well on our way towards that goal.",
153,SBI,This product is a variant of Term Deposits but instead of Interest being paid out at a regular frequency during the period of deposit; here it is paid out only at the time of maturity. Regular interest is added to the principal and compound interest calculated and paid thereon,
154,SBI,"Minimum deposit amount Rs. 1,000/- and thereafter in multiples of Rs. 100/-",
155,SBI,A deposit of Rs. 1.00 crore and more is treated as bulk deposit.rs,
156,SBI,Rate of interest as applicable to Term Deposits with Quarterly compounding.,
157,SBI,The interest rate payable to SBI Staff and SBI pensioners will be 1.00% above the applicable rate.,
158,SBI,The rate applicable to all Senior Citizens of age 60 years and above will be 0.50% above the applicable rate.,
159,SBI,Term Deposit (together with interest) of Rs. 20000/- and above shall not be paid in cash.,
160,SBI,Loans / OD upto 90% of the Principal deposit. (interest may include),
161,SBI,TDS is applicable as per Income Tax Rules. Form 15G/H can be submitted by the depositor for exemption from tax deduction as per IT Rules.,
162,SBI,Flexibility to convert Term Deposit (regular interest payout) to STDR (cumulative interest payout) and vice versa.,
163,SBI,Instructions for disposal of maturity proceeds are accepted at the time of opening of accounts.,
164,SBI,"Resident individuals singly or jointly, Minor (himself/herself or through his/her Guardian), Karta of HUF, Firm, Company, Local Bodies and Any Government Department",
165,SBI,"For Term Deposit up to Rs 5.00 lacs, the penalty for premature withdrawal will be 0.50% (all tenors).",
166,SBI,"The interest shall be 0.50% or 1% below the rate applicable at the time of Deposits for the period Deposit remained with the Bank or 0.50% or 1% below the contracted rate, whichever is lower.",
167,SBI,TDS is applicable at prevalent rate. Form 15G/H can be submitted by the depositor to get exemption from Tax deduction as Income Tax Rules.,
168,SBI,The rate applicable to all Senior Citizens of age 60 years and above will be 0.50% above the applicable rate.,
169,SBI,The cost of the package you choose will be divided by 13. You will be redirected to the Online SBI portal where you can setup an e- Recurring Deposit (e-RD) account for 12 monthly instalments,
170,SBI,Thomas Cook will fund the balance amount i.e. the 13th instalment to purchase your package after factoring in the accrued e-RD interest,
171,SBI,This e-RD account is opened for enrolling in Holiday Savings Account scheme of Thomas Cook and therefore information on this account will be shared with Thomas Cook,
172,SBI,The tenor for this product is fixed at 12 months and the amount is decided by Thomas Cook based on the package chosen by the customer,
173,SBI,"e-RD account with additional rate of interest for Senior Citizens will be issued if option for ""Senior Citizen"" is selected by the customer and age of customer is 60 yrs or above, on the date of creating the recurring deposit, as per date of birth recorded with the Bank",
174,SBI,"On maturity of e-RD account, the maturity instruction set for the account will be executed and the proceeds will be transferred to Thomas Cook unless customer changes the maturity instruction to be credited to the Savings Account from which the e-RD account was funded",
175,SBI,Payment of interest at Monthly/Quarterly/Calendar quarter basis as per your requirement.,
176,SBI,Payment of Monthly interest will be at discounted rate. Interest will be paid at the contracted rate irrespective of change in the rates thereafter.,
177,SBI,"Senior Citizens get 0.25% extra interest rate for amount above Rs 10,000/-",
178,SBI,"For Retail Term Deposit up to Rs 5.00 lacs, the penalty for premature withdrawal will be 0.50% (all tenors).",
179,SBI,"For Retail Term Deposits above Rs 5.00 lacs but below Rs 1 crore, applicable penalty will be 1% (all tenors).",
180,SBI,Automatic renewals will take place only where there is no maturity instructions recorded at the time of opening the Term Deposit account or any time before maturity of deposit.,
181,SBI,"Park your lump sum amount in an SBI Term Deposit and avail of features like guaranteed returns, choice of interest payout, liquidity through OD or premature withdrawal.",
182,SBI,TDS at prevalent Income tax rate is deducted if Form 15G/15H not submitted.,
183,SBI,Instructions for disposal of maturity proceeds are accepted at the time of opening of accounts.,
